texto,criado_em,usuario,sentimento
advent of code day 11 had clever misdirection i even used my fsm library genstates to model the transformations blog post explains all open to python dev roles httpskitfucodamediumcomfinallyanapplicationformyfsmlibraryadventofcode2024day11714b6f0faf86 adventofcode python genstates fsm fedihire opentowork,2025-01-21 02:37:53+00:00,Jeffrey04,positivo
made primitive system to draw simple scalable flags on the terminal just fun httpsgithubcompanzipythontermflags python,2025-01-21 02:08:08+00:00,bloody_albatross,positivo
hypothesispropertybased testinghttpsdevclassmethodjparticlespbthypothesispythondevclassmethod test pytest python unittest,2025-01-21 02:03:42+00:00,dev_classmethod,neutro
ruff python linter and code formatter written in rustlink httpsgithubcomastralshruffdiscussion httpsnewsycombinatorcomitemid42775029rust python,2025-01-21 02:00:06+00:00,hn50,neutro
magnetron is minimalist machine learning framework built entirely from scratchhttpsgithubcommariosiegmagnetrondiscussions httpsdiscueuqhttpsgithubcommariosiegmagnetronprogramming python,2025-01-21 01:23:58.885000+00:00,python_discussions,neutro
dependent breaking pytestshttpsblogdanwaldmedependentbreakingpytestsreftwittershare python pytest,2025-01-21 01:21:49+00:00,danwald,neutro
github astralshruff rust python httpsgithubcomastralshruffruff python rust flake8 black 10100 python,2025-01-21 01:18:22.666000+00:00,GripNews,neutro
barefootstache yeah the python ecosystem has bunch of options development tools that various things pyenv venv and virtualenv in particular are not at all meant to the same thing poetry the closest equivalents to poetry are things like hatch flit and pdm and kind of uv well although its little complicated because poetry does several different things and i dont believe any of those tools are an exact equivalent all of the things poetry doesyou might find this an interesting read httpsalpopkescompostspythonpackagingtoolsthe landscape of packaging tools has changed somewhat since then eg rye has been absorbed into uv but i think most of it is still fairly accurate and the point of reading this is not so much to understand which specific tool does what its to understand the different tasks that python has tools and how you can cover them using one tool or multiple different tools working together whatever you like,2025-01-21 01:12:00+00:00,diazona,positivo
atak acuch dostaw celowniku pakiet pythona i serwery discordbadacze z firmy socket opisali analiz zoliwego pakiet pypi ktry celownik wzi programistw i twrcw botw wykorzystujcych pythona integracji z discord pakiet nazwie pycordself imitowa istniejcy prawdziwy pakiet discordpyself zoliwy odpowiednik pojawi si w czerwcu 2024 i zosta od tego czasu pobrany blisko 900 razy tldr autorzy zoliwego pakietu zadbaliwbiegu discord pypi python supplychainhttpssekurakplataknalancuchdostawnacelownikupakietpythonaiserwerydiscord,2025-01-21 00:54:00+00:00,sekurakbot,negativo
after programming good 2 months in python finally found the tool poetry which is quite similar to how nodejs bundles libraries into directory either locally or globally in the cache directoryi have tried the other tools from pyenv to venv andor virtualenv where i thought they were used to deal with library dependency management only to realize that they are more like nvmi did use conda some time though preferred python only solution i realize that poetry wont resolve all issues and might need to look into to containerization later on though the time period it looks like good solution,2025-01-21 00:39:15+00:00,barefootstache,positivo
i just enjoyed this design patterns tour from brandonrhodesmastodonsocial it gives modern view of all 23 patterns from the original 1994 bookpythonhttpswwwyoutubecomwatchvpgq7cr2ekvm,2025-01-21 00:03:30+00:00,adamchainz,positivo
the problem is i want to have my cake and eat it too i want to pip install package that will copy jar file my students yeah i know java file but i dont want to deal with packaging and maintaining the thing on pypi python you can use some java libraries made processing with py5,2025-01-20 22:53:43+00:00,villares,negativo
burned at least an hour i didnt have trying to get tkinter to run inside pycharmwhat eventually worked uninstall the flatpak version of pycharm that ubuntus default software app offers and get one directly from jetbrainsonce again all computer problems are solved with some variant of turn it off and back on againpython tkinter pycharm ubuntu,2025-01-20 22:45:58+00:00,peterdrake,negativo
python implicit int and float data type conversion python pythontips datascience datanalytics,2025-01-20 22:39:39.278000+00:00,TechKeysX,neutro
ideas how to support tailwind css 4x in djangotailwindcli httpsandrichme20250120ideashowtosupporttailwindhtml python django,2025-01-20 21:51:06+00:00,oliverandrich,positivo
genuary20 code at httpsgithubcomvillaressketchadaytreemain2025sketch20250120more sketchaday httpsabavlugaralgumcomsketchadayif you like this support my work httpswwwpaypalcomdonatehostedbuttonid5b4mz78c9j724 genuary2025 processing python py5 creativecoding,2025-01-20 21:44:52+00:00,villares,positivo
